slug,name,action,entity_type,postcode,city,local_site
oxynode,Oxynode,unflag,company,90000,Belfort,1
pairfs,PAIRFS,keep,company,38700,Corenc,
parcoor,Parcoor,unflag,company,69001,Lyon,1
particles-physics,Particles Physics,reject,,,,
partout-en-france,Partout en France,reject,,,,
pays-de-gex-agglo,Pays de Gex Agglo,unflag,ecosystem_support,01170,Gex,1
pcb-piezotronics,PCB Piezotronics,unflag,company,91190,Saint-Aubin,1
pepite-link,Pépite.link,keep,company,38240,Meylan,
petites-fibres,Petites fibres,reject,,,,
pfeiffer-vacuum-sas,Pfeiffer Vacuum SAS,unflag,corporate,74009,Annecy,1
phi-design,Phi Design,keep,company,38500,Voiron,
photonis-infrared-france,Photonis Infrared France,keep,company,38000,Grenoble,
physics,Physics,reject,,,,
piirates,Piirates,unflag,company,07130,Saint-Péray,1
piseo,PISEO,unflag,company,69200,Venissieux,1
piwio,Piwio,unflag,company,69100,Villeurbanne,1
pixfield,Pixfield,unflag,company,73190,Challes-Les-Eaux,1
pixminds,Pixminds,unflag,company,73000,Barberaz,1
planifia,Planifia,keep,company,38100,Grenoble,
plasma-therm-europe,Plasma-Therm Europe,keep,company,38190,Bernin,
plast-3c,Plast-3C,keep,company,38590,Sillans,
